Name,Operation,Guid,Chapter,Stage,X,Y,Z,Pitch,Yaw,Roll,Radius,ItemId,Notes,,,,,,,,,,,,,,
CP1_PathtovillageGimmicks.5,trigger,,1,,-179.08,13.47,67.45,,,,2,,,,,,,,,,,,,,,,
CP1_PathtovillageGimmicks.6,trigger,,1,,-179.08,13.47,67.45,,,,2,,,,,,,,,,,,,,,,
CP1_PathtovillageGimmicks.7,trigger,,1,,-179.08,13.47,67.45,,,,2,,,,,,,,,,,,,,,,
CP1_PathtovillageGimmicks.8,trigger,,1,,-179.08,13.47,67.45,,,,2,,,,,,,,,,,,,,,,
CP1_pathtovillage.windowclimbers,trigger,,1,,-176.9,9.7,63.4,,,,4,,,,,,,,,,,,,,,,
CP1_pathtovillage.ambush,trigger,,1,,-160.9,7.9,51.2,,,,2,,,,,,,,,,,,,,,,
CP1_pathtovillage.bridge,trigger,,1,,-152.8,7.2,55.3,,,,2,,,,,,,,,,,,,,,,
CP1_pathtovillage.door,trigger,,1,,-117.6,7.3,49.7,,,,1.5,,,,,,,,,,,,,,,,
CP1_pathtovillage.door,lockdoor,a69d2d6c-f817-4dbb-9b50-6a7ac89d31b5,,,,,,,,,,,,,,,,,,,,,,,,,
CP1_pathtovillage.doortwo,trigger,,1,,-115.2,7.3,54.6,,,,1.5,,,,,,,,,,,,,,,,
CP1_VillageSiegeGimmicks.0,trigger,,1,,-49.71,0,19.69,,,,3,,,,,,,,,,,,,,,,
CP1_VillageSiegeGimmicks.1,trigger,,1,,-49.71,0,19.69,,,,3,,,,,,,,,,,,,,,,
CP1_VillageSiegeGimmicks.2,trigger,,1,,-49.71,0,19.69,,,,3,,,,,,,,,,,,,,,,
CP1_VillageSiegeGimmicks.3,trigger,,1,,-49.71,0,19.69,,,,3,,,,,,,,,,,,,,,,
CP1_VillageSiegeGimmicks.4,trigger,,1,,-49.71,0,19.69,,,,3,,,,,,,,,,,,,,,,
CP1_VillageSiegeGimmicks.5,trigger,,1,,-49.71,0,19.69,,,,3,,,,,,,,,,,,,,,,
CP1_VillageSiegeGimmicks.6,trigger,,1,,-49.71,0,19.69,,,,3,,,,,,,,,,,,,,,,
CP1_VillageFarmGimmicks.0,trigger,,1,,44.62,3.34,-30.14,,,,2,,,,,,,,,,,,,,,,
CP1_VillageFarmGimmicks.1,trigger,,1,,44.62,3.34,-30.14,,,,2,,,,,,,,,,,,,,,,
CP1_VillageFarmGimmicks.2,trigger,,1,,44.62,3.34,-30.14,,,,2,,,,,,,,,,,,,,,,
CP1_VillageFarmGimmicks.3,trigger,,1,,44.62,3.34,-30.14,,,,2,,,,,,,,,,,,,,,,
CP1_VillageFarmGimmicks.4,trigger,,1,,44.62,3.34,-30.14,,,,2,,,,,,,,,,,,,,,,
CP1_VillageFarmGimmicks.5,trigger,,1,,44.62,3.34,-30.14,,,,2,,,,,,,,,,,,,,,,
CP1_VillageFarmGimmicks.6,trigger,,1,,44.62,3.34,-30.14,,,,2,,,,,,,,,,,,,,,,
CP1_VillageFarmGimmicks.7,trigger,,1,,44.62,3.34,-30.14,,,,2,,,,,,,,,,,,,,,,
CP1_FarmToLakesideGimmicks.0,trigger,dd9080b0-2a6e-4051-ab11-240d6add1c7d,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_FarmToLakesideGimmicks.1,trigger,dd9080b0-2a6e-4051-ab11-240d6add1c7d,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_FarmToLakesideGimmicks.2,trigger,dd9080b0-2a6e-4051-ab11-240d6add1c7d,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_FarmToLakesideGimmicks.3,trigger,dd9080b0-2a6e-4051-ab11-240d6add1c7d,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_LakesideGimmicks.0,trigger,,1,,140,-5.6,-127.4,,,,2,,,,,,,,,,,,,,,,
CP1_LakesideGimmicks.1,trigger,,1,,140,-5.6,-127.4,,,,2,,,,,,,,,,,,,,,,
CP1_LakesideGimmicks.2,trigger,,1,,140,-5.6,-127.4,,,,2,,,,,,,,,,,,,,,,
CP1_LakesideGimmicks.3,trigger,,1,,140,-5.6,-127.4,,,,2,,,,,,,,,,,,,,,,
CP1_LakesideGimmicks.4,trigger,,1,,140,-5.6,-127.4,,,,2,,,,,,,,,,,,,,,,
CP1_LakesideGimmicks.5,trigger,,1,,140,-5.6,-127.4,,,,2,,,,,,,,,,,,,,,,
CP1_LakesideGimmicks.6,trigger,,1,,140,-5.6,-127.4,,,,2,,,,,,,,,,,,,,,,
CP1_LakesideGimmicks.7,trigger,,1,,140,-5.6,-127.4,,,,2,,,,,,,,,,,,,,,,
CP1_LakesideGimmicks.8,trigger,,1,,140,-5.6,-127.4,,,,2,,,,,,,,,,,,,,,,
CP1_LakesideGimmicks.9,trigger,,1,,140,-5.6,-127.4,,,,2,,,,,,,,,,,,,,,,
CP1_aftersiege.merchant,trigger,ea47b9d8-e6ef-48e6-a56b-e6d0c891edfb,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_aftersiege.merchant,trigger,,1,,26,2.1,-27.9,,,,1.5,,,,,,,,,,,,,,,,
CP1_aftersiege.merchant,lockdoor,d5cebe63-d4e1-43af-aee5-c82c978e60ad,,,,,,,,,,,,,,,,,,,,,,,,,
CP1_aftersiege.merchant2,trigger,ea47b9d8-e6ef-48e6-a56b-e6d0c891edfb,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_aftersiege.merchant2,trigger,,1,,19.9,1.1,-18.9,,,,3,,,,,,,,,,,,,,,,
CP1_aftersiege.merchant3,trigger,ea47b9d8-e6ef-48e6-a56b-e6d0c891edfb,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_aftersiege.merchant3,trigger,,1,,42.2,3.3,-29.4,,,,3,,,,,,,,,,,,,,,,
CP1_aftersiege.merchant3,lockdoor,e654b8f2-dfee-42b1-a1ae-6737a585aa23,,,,,,,,,,,,,,,,,,,,,,,,,
CP1.Cabin|lockdoorevent,trigger,,1,,60.8,9.5,-161.2,,,,1.5,,Upstairs in cabin,,,,,,,,,,,,,,
CP1.Cabin|lockdoorevent,lockdoor,dcd9e0cb-0fab-46e0-bdb3-48ee695d62fb,,,,,,,,,,,,,,,,,,,,,,,,,
CP1.Cabin|eventtorches,trigger,dd9080b0-2a6e-4051-ab11-240d6add1c7d,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1.Cabin2|lockdoorevent,trigger,,1,,51.7,5.5,-164.9,,,,1.5,,Upstairs in cabin,,,,,,,,,,,,,,
CP1.Cabin2|lockdoorevent,lockdoor,dcd9e0cb-0fab-46e0-bdb3-48ee695d62fb,,,,,,,,,,,,,,,,,,,,,,,,,
CP1.Cabin2|Gimmicks,trigger,dd9080b0-2a6e-4051-ab11-240d6add1c7d,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1.Farm|guardian,trigger,,1,,44.62,3.34,-30.14,,,,2,,,,,,,,,,,,,,,,
CP1.Farm|guardian,lockdoor,53f4b65e-0318-4876-9ac7-d5b5c2bfeaf6,,,,,,,,,,,,,,,,,,,,,,,,,
CP1.Farm|adds,trigger,,1,,68.1,3.2,-81,,,,2,,,,,,,,,,,,,,,,
CP1_FarmToLakeside.0|MendezSpawn,trigger,,1,,154.9,-5.71,-114.42,,,,2,,,,,,,,,,,,,,,,
CP1_FarmToLakeside.0|TunnelEnd,trigger,,1,,174.5,-5.7,-108.9,,,,2,,,,,,,,,,,,,,,,
CP1_FarmToLakeside.0|TunnelEnd,lockdoor,c7a8d13b-8bdb-4951-9629-7ae46117e724,,,,,,,,,,,,,,,,,,,,,,,,,
CP1_FarmToLakeside.1|Ladder,trigger,6108efe7-7dc2-4f8f-8443-345b67d5b4c0,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_FarmToLakeside.2|Tunnelfight,trigger,,1,,154.9,-5.71,-114.42,,,,2,,,,,,,,,,,,,,,,
CP1_FarmToLakeside.2|Tunnelfight,lockdoor,b1913419-23e7-4ff3-9452-3dd514395535,,,,,,,,,,,,,,,,,,,,,,,,,
CP1_FarmToLakeside.2|Tunnelfight,lockdoor,6174e107-38cc-4ecf-9c10-584a8eab0004,,,,,,,,,,,,,,,,,,,,,,,,,
CP2_AbandonedFactoryGimmicks.0,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_AbandonedFactoryGimmicks.1,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_AbandonedFactoryGimmicks.2,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_AbandonedFactoryGimmicks2,trigger,23b8a6d7-8c8e-4060-b819-1383371f1bdc,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_HexagonConnectorGimmicks.0,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_HexagonConnectorGimmicks.1,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_HexagonConnectorGimmicks.2,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_DynamiteValleyRemove1,remove,f047271d-e1b5-4916-ba05-ab46e67e741c,,,,,,,,,,,,,,,,,,,,,,,,,
CP2_DynamiteValleyRemove2,remove,b63c8949-571b-4069-9010-522abfbd8e19,,,,,,,,,,,,,,,,,,,,,,,,,
CP2_DynamiteValleyGimmicks.0,trigger,bd0d5c06-1d37-439d-87b5-4d794b79f4e3,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_DynamiteValleyGimmicks.1,trigger,bd0d5c06-1d37-439d-87b5-4d794b79f4e3,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_DynamiteValleyGimmicks.2,trigger,bd0d5c06-1d37-439d-87b5-4d794b79f4e3,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_DynamiteValleyGimmicks.3,trigger,bd0d5c06-1d37-439d-87b5-4d794b79f4e3,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_DynamiteValleyGimmicks.4,trigger,bd0d5c06-1d37-439d-87b5-4d794b79f4e3,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_DynamiteValleyGimmicks.5,trigger,bd0d5c06-1d37-439d-87b5-4d794b79f4e3,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_DynamiteValleyshutter.1,move,07199928-f47c-4634-b591-d41833d2d0ed,,,55.85,-3.72,203.34,0,135,0,,,,,,,,,,,,,,,,,
CP2_DynamiteValleyshutter.2,move,07199928-f47c-4634-b591-d41833d2d0ed,,,65.48,-5.51,201.29,0,26,0,,,,,,,,,,,,,,,,,
CP2_DynamiteValleyshutter.3,move,07199928-f47c-4634-b591-d41833d2d0ed,,,66.15,-7.74,233.88,0,-140,0,,,,,,,,,,,,,,,,,
CP2_DynamiteValleyshutter.4,move,07199928-f47c-4634-b591-d41833d2d0ed,,,59.93,-5.57,214.98,0,75,0,,,,,,,,,,,,,,,,,
CP2_DynamiteValleyshutter.5,move,07199928-f47c-4634-b591-d41833d2d0ed,,,71.98,-7.78,223.33,0,-143,0,,,,,,,,,,,,,,,,,
CP2_PathtoMendezHouseGimmicks.0,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_PathtoMendezHouseGimmicks.1,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_PathtoMendezHouseGimmicks.2,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_PathtoMendezHouseGimmicks.3,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_PathtoMendezHouseGimmicks.4,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_PathtoMendezHouseGimmicks.5,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_PathtoMendezHouseGimmicks.6,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_PathtoMendezHouseGimmicks.7,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_PathtoMendezHouseGimmicks.8,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2_PathtoMendezHouseGimmicks.9,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2.Dynamite|Remove,remove,4db5951c-ff5b-4b9b-be7a-510dc9f25ddb,,,,,,,,,,,,,,,,,,,,,,,,,
CP2.Dynamite|Remove,remove,58a07434-58b0-4a8e-bbab-71a33cdf8765,,,,,,,,,,,,,,,,,,,,,,,,,
CP2.Dynamite|hex,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2.Dynamite|hex,removekey,8195486a-1cbb-4799-9a24-33c6397b90dc,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2.Dynamite|hex,givekey,,2,,,,,,,,,119203200,Give the key to guardian enemy,,,,,,,,,,,,,,
CP2.Dynamite|Event,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2.Dynamite|Event,lockdoor,9105b9d2-31f5-43d5-9760-b77ad8447b83,,,,,,,,,,,,,,,,,,,,,,,,,
CP2.Dynamite|Event,lockdoor,45e0bf64-2bd9-46c5-b9f7-d667b7b12efd,,,,,,,,,,,,,,,,,,,,,,,,,
CP2.Dynamite|Event,lockdoor,06a773b4-74e0-465a-a7ba-4a27df831ea6,,,,,,,,,,,,,,,,,,,,,,,,,
CP2.factory|remove,remove,4db5951c-ff5b-4b9b-be7a-510dc9f25ddb,,,,,,,,,,,,,,,,,,,,,,,,,
CP2.factory|hex,trigger,23b8a6d7-8c8e-4060-b819-1383371f1bdc,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2.factory|hex,placefile,,2,44400,72.2,-2.54,227,0,180,0,,,"Order
<PAGE>
We have had word that the prisoners have escaped the factory.

Take the <COL FILE>emblem</COL> back to where we held the prisoners. It will be the last place they expect. Take extra guards with you.

Alejandro",,,,,,,,,,,,,,
CP2.factory|hex,removekey,8195486a-1cbb-4799-9a24-33c6397b90dc,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2.factory|hex,givekey,,2,,,,,,,,,119203200,Give the key to guardian enemy,,,,,,,,,,,,,,
CP2.factory|eventtorch,trigger,1ea855b6-7727-4901-8bdb-3f2af65b4f30,2,,,,,,,,,,,,,,,,,,,,,,,,
CP2.HexShuffle|layout,move,00126a9e-9af1-4072-ae30-16a70943feb2,,44101,-22.4,6.7,119.64,0,32,0,,,move enemyspawntrigger,,,,,,,,,,,,,,
CP2.HexShuffle|layout,move,634f4eab-a612-43b7-ad4d-c914a4071f8a,,44300,49.96,-3.8,187.81,0,45.9,0,,,move shutter,,,,,,,,,,,,,,
CP2.HexShuffle|layout,move,0564ffe9-402a-4b82-a29c-b40d560a479e,,44300,37.44,-1.87,185.23,0,0.29,0,,,move hexpuzzle,,,,,,,,,,,,,,
CP2.HexShuffle|wayback,trigger,,2,44110,11.05,8.88,109.07,0,-13,0,2,,,,,,,,,,,,,,,,
CP2.HexShuffle|wayback,placefile,,,44110,10.7,10.3,110.1,,,,,,"Order
<PAGE>
We have had word that the prisoners have escaped the factory.

Take the <COL FILE>Crystal Marble</COL> to the Valley, and hold on to it inside the house. Guard it with your life.

Alejandro",,,,,,,,,,,,,,
CP2.HexShuffle|wayback,lockdoor,8ee43c1f-65d8-451b-8541-407c527b2cf4,,,,,,,,,,,,,,,,,,,,,,,,,
CP2.HexShuffle|wayback,removekey,a9dfcf94-947d-47c1-8d1c-7c11846fac86,,,,,,,,,,,removesphere,,,,,,,,,,,,,,
CP2.HexShuffle|wayback,givekey,,2,,,,,,,,,119203200,,,,,,,,,,,,,,,
CP2.HexShuffle|marble,trigger,,2,44110,11.05,8.88,109.07,0,-13,0,2,,,,,,,,,,,,,,,,
CP2.HexShuffle|marble,removekey,8195486a-1cbb-4799-9a24-33c6397b90dc,2,,,,,,,,,,removehex,CP2.HexShuffle|wayback,removekey,a9dfcf94-947d-47c1-8d1c-7c11846fac86,,,,,,,,,,,removesphere
CP2.HexShuffle|marble,givekey,,2,,,,,,,,,119217600,,,,,,,,,,,,,,,
CP3_mendezhouse.ambush,trigger,,3,,7.3,9.8,98.8,,,,2,,,,,,,,,,,,,,,,
CP3_mendezhouse.guard,trigger,,3,,12.8,12.9,102.8,,,,2,,,,,,,,,,,,,,,,
CP3_mendezhouse.dogstare,trigger,,3,,12.8,12.9,102.8,,,,2,,,,,,,,,,,,,,,,
CP3_mendezhouse.outside,trigger,,3,,12.8,12.9,102.8,,,,2,,,,,,,,,,,,,,,,
CP3_mendezconnector.ambush,trigger,,3,,-23,4,54.7,,,,2,,"Mid way, after the little hut",,,,,,,,,,,,,,
CP3_mendezconnector.ambush,lockdoor,d27b5d03-bb9a-4560-9dae-ca396b16925b,,,,,,,,,,,,,,,,,,,,,,,,,
CP3_mendezconnector.ambush,lockdoor,5d40ae94-fa29-4d60-b915-62b6e905c31e,,,,,,,,,,,,,,,,,,,,,,,,,
CP3_mendezconnector.mendez,trigger,,3,,-20.2,5.2,76.5,,,,2.5,,Next to Hut,,,,,,,,,,,,,,
CP3_mendezconnector.bugs,trigger,,3,,-14.1,8.1,92,,,,2,,Doorway,,,,,,,,,,,,,,
CP3_mendezconnector.garrador|ambush,trigger,,3,,-18.2,7.1,85.9,,,,2,,,,,,,,,,,,,,,,
CP3_mendezconnector.garrador|secondspawn,trigger,,3,,-20.1,5.2,76.6,,,,2,,,,,,,,,,,,,,,,
CP3_MoveEvent,trigger,,3,,7.3,9.8,98.8,,,,2,,,,,,,,,,,,,,,,
CP3_MoveEvent,move,8560e69d-27a1-4025-bc38-4a02fa3ffa76,,40213,33.64,1.03,5.48,0,-108,0,,,Tower Explosion Trigger move,,,,,,,,,,,,,,
CP3_MoveEvent,move,6055227d-6381-4190-a3cd-c48e2b68bf6a,,40213,32.31,1.01,17.82,0,162.46,0,,,,,,,,,,,,,,,,,
CP3_MoveEvent,move,af4abbe8-64b2-48f1-bb87-97dc8b0993bf,,40200,22.79,1.18,0.84,0,-108,0,,,,,,,,,,,,,,,,,
CP3_townhall,trigger,,3,,32.5,1,15.7,,,,3,,Just before the door to merchant,,,,,,,,,,,,,,
CP3_townhall,lockdoor,af4abbe8-64b2-48f1-bb87-97dc8b0993bf,,,,,,,,,,,,,,,,,,,,,,,,,
CP3_townhall,lockdoor,6055227d-6381-4190-a3cd-c48e2b68bf6a,,,,,,,,,,,,,,,,,,,,,,,,,
