Campaign,Chapter,Guid,Kind,Stage,X,Y,Z,Pitch,Yaw,Roll,Condition,Events,Tags,Param1
Leon,,,Biorand_BearTrap,40200,22.00,1.10,1.00,0.00,83.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,30.00,1.20,-3.00,0.00,-94.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,23.00,-5.30,4.00,0.00,121.00,0.00,,,,
Leon,,,Biorand_BearTrap,40212,29.00,1.05,3.00,0.00,69.00,0.00,,,,
Leon,,,Biorand_BearTrap,40213,32.00,1.00,13.00,0.00,-16.00,0.00,,,,
Leon,,,Biorand_BearTrap,40213,39.00,1.00,15.00,0.00,-6.00,0.00,,,,
Leon,,,Biorand_BearTrap,40213,32.00,1.00,20.00,0.00,53.00,0.00,,,,
Leon,,,Biorand_BearTrap,45200,77.00,4.00,53.00,0.00,-28.00,0.00,,,,
Leon,,,Biorand_BearTrap,45200,78.00,4.40,58.00,0.00,69.00,0.00,,,,
Leon,,,Biorand_BearTrap,45200,88.00,5.80,64.00,0.00,-3.00,0.00,,,,
Leon,,,Biorand_BearTrap,45200,79.00,6.70,72.00,0.00,57.00,0.00,,,,
Leon,,,Biorand_BearTrap,45200,69.00,4.00,65.00,0.00,176.00,0.00,,,,
Leon,,,Biorand_BearTrap,45200,88.00,9.00,77.00,0.00,28.00,0.00,,,,
Leon,,,Biorand_BearTrap,45200,99.00,10.00,116.00,0.00,55.00,0.00,,,,
Leon,,,Biorand_BearTrap,45300,96.00,8.00,134.00,0.00,32.00,0.00,,,,
Leon,,,Biorand_BearTrap,45300,110.00,9.00,131.00,0.00,150.00,0.00,,,,
Leon,,,Biorand_BearTrap,45300,114.00,9.00,135.00,0.00,77.00,0.00,,,,
Leon,,,Biorand_BearTrap,45300,119.00,12.00,134.00,0.00,80.00,0.00,,,,
Leon,,,Biorand_BearTrap,45300,125.00,13.00,138.00,0.00,-18.00,0.00,,,,
Leon,,,Biorand_BearTrap,45300,133.00,12.00,134.00,0.00,55.00,0.00,,,,
Leon,,,Biorand_BearTrap,45301,138.00,9.00,140.00,0.00,52.00,0.00,,,,
Leon,,,Biorand_BearTrap,45301,164.00,8.00,156.00,0.00,26.00,0.00,,,,
Leon,,,Biorand_BearTrap,45302,176.00,8.00,158.00,0.00,121.00,0.00,,,,
Leon,,,Biorand_BearTrap,45302,187.00,8.00,146.00,0.00,173.00,0.00,,,,
Leon,,,Biorand_BearTrap,45302,182.00,8.00,137.00,0.00,-136.00,0.00,,,,
Leon,,,Biorand_BearTrap,45302,190.00,8.00,135.00,0.00,-100.00,0.00,,,,
Leon,,,Biorand_BearTrap,45302,178.00,8.00,133.00,0.00,-46.00,0.00,,,,
Leon,,,Biorand_BearTrap,45302,175.00,8.00,140.00,0.00,123.00,0.00,,,,
Leon,,,Biorand_BearTrap,45302,186.00,8.00,125.00,0.00,163.00,0.00,,,,
Leon,,,Biorand_BearTrap,45303,182.00,4.00,109.00,0.00,-170.00,0.00,,,,
Leon,,,Biorand_BearTrap,45303,181.00,4.00,101.00,0.00,112.00,0.00,,,,
Leon,,,Biorand_BearTrap,45303,190.00,4.00,101.00,0.00,90.00,0.00,,,,
Leon,,,Biorand_BearTrap,46210,197.00,4.00,99.00,0.00,25.00,0.00,,,,
Leon,,,Biorand_BearTrap,46210,199.00,2.00,107.00,0.00,79.00,0.00,,,,
Leon,,,Biorand_BearTrap,45500,221.00,4.00,90.00,0.00,135.00,0.00,,,,
Leon,,,Biorand_BearTrap,45500,223.00,4.00,79.00,0.00,-170.00,0.00,,,,
Leon,,,Biorand_BearTrap,45500,209.00,1.00,78.00,0.00,-123.00,0.00,,,,
Leon,,,Biorand_BearTrap,45500,190.00,1.00,74.00,0.00,-81.00,0.00,,,,
Leon,,,Biorand_BearTrap,45500,206.00,0.00,69.00,0.00,104.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,174.00,0.00,78.00,0.00,-127.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,174.00,-6.00,65.00,0.00,-166.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,170.00,-6.00,58.00,0.00,-108.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,163.00,-4.00,60.00,0.00,-71.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,166.00,-4.00,71.00,0.00,-3.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,158.00,-4.00,65.00,0.00,-70.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,152.00,-5.00,63.00,0.00,-145.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,149.00,-6.00,52.00,0.00,-118.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,139.00,-3.00,63.00,0.00,146.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,141.00,-3.00,64.00,0.00,144.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,145.00,-4.00,45.00,0.00,-136.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,141.00,-4.00,43.00,0.00,-75.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,149.00,-4.00,42.00,0.00,166.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,145.00,-6.00,38.00,0.00,163.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,157.00,-4.00,50.00,0.00,44.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,159.00,-4.00,53.00,0.00,-38.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,161.00,-6.00,54.00,0.00,132.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,155.00,-6.00,38.00,0.00,-137.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,138.00,-4.00,44.00,0.00,-81.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,134.00,-4.00,44.00,0.00,89.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,132.00,-6.00,46.00,0.00,151.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,135.00,-6.00,37.00,0.00,160.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,127.00,-5.00,53.00,0.00,-9.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,124.00,-4.00,56.00,0.00,-10.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,125.00,-3.00,59.00,0.00,-10.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,116.00,-4.00,56.00,0.00,-52.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,119.00,-4.00,48.00,0.00,-130.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,127.00,-5.00,50.00,0.00,-91.00,0.00,,,,
Leon,,,Biorand_BearTrap,45410,116.00,-4.00,46.00,0.00,-117.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,126.00,2.00,61.00,0.00,62.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,135.00,2.00,66.00,0.00,50.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,139.00,2.00,71.00,0.00,57.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,147.00,2.00,73.00,0.00,84.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,147.00,-6.00,68.00,0.00,81.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,165.00,-6.00,67.00,0.00,116.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,166.00,-3.00,80.00,0.00,-4.00,0.00,,,,
Leon,,,Biorand_BearTrap,45400,167.00,2.00,84.00,0.00,86.00,0.00,,,,
Leon,,,Biorand_BearTrap,45500,213.00,-5.00,66.00,0.00,122.00,0.00,,,,
Leon,,,Biorand_BearTrap,45500,215.00,-4.00,76.00,0.00,99.00,0.00,,,,
Leon,,,Biorand_MerchantTorch,47201,198.95,2.87,-195.28,0.00,0.00,0.00,,,,
Leon,,,Biorand_Merchant,47201,198.50,2.58,-191.05,0.00,173.00,0.00,,,,
Leon,,,Biorand_Merchant,51201,53.30,25.00,12.70,0.00,0.00,0.00,,,,
Leon,,,Biorand_MerchantTorch,51201,51.60,25.00,13.50,0.00,0.00,0.00,,,,
Leon,,,Biorand_Merchant,43410,224.00,-3.50,-134.40,0.00,-153.00,0.00,,,,
Leon,,,Biorand_MerchantTorch,43410,219.70,-4.10,-135.60,0.00,0.00,0.00,,,,
Leon,,,Biorand_AshleyLocker,51201,57.50,25.00,15.40,0.00,-87.90,0.00,,,,
Leon,,,Biorand_AshleyLocker,52101,104.50,24.10,43.10,0.00,-179.50,0.00,,,,
Leon,,,Biorand_AshleyLocker,45200,111.00,10.30,110.40,0.00,-43.00,0.00,,,,
Leon,,,Biorand_AshleyLocker,47100,102.10,8.10,-166.50,0.00,-29.00,0.00,,,,
Leon,,,Biorand_AshleyLocker,50200,-311.40,-6.80,64.50,0.00,87.50,0.00,,,,
Leon,5,,Biorand_AshleyLocker,50501,-115.50,8.50,21.60,0.00,1.00,0.00,fda3e111-6ce3-4283-87d0-dee5f19e1459,,,
Leon,5,,Biorand_AshleyLocker,43300,48.70,2.70,-53.90,0.00,140.70,0.00,fda3e111-6ce3-4283-87d0-dee5f19e1459,,,
Leon,,,Biorand_AshleyLocker,68105,-77.80,61.50,-131.50,0.00,-179.20,0.00,,,,
Leon,,,Biorand_AshleyLocker,50600,-106.20,14.90,46.40,0.00,-90.50,0.00,,,,
,,,,,,,,,,,,,,
Leon,0,,Biorand_LargeRocks,40200,10.05,3.03,25.51,0,94,0,,01_Village.Visual.VillageSquare.Highground.Rocks,,
Leon,0,,Biorand_GateShutter,43400,170.1,-5.71,-110.45,0,71,0,,01_Village.Visual.FarmToLakeside.Tunnel.Gates,,
Leon,0,,Biorand_GateShutter,43302,138.55,-5.62,-128.49,0,-140,0,,01_Village.Visual.FarmToLakeside.Tunnel.Gates,,
Leon,0,,Biorand_GateShutter,44400,86.66,-7.78,218.93,0,134,0,,01_Village.Visual.DynamiteValley.Gates,,
Leon,0,,Biorand_GateShutter,44400,63.57,-5.54,214.08,0,179,0,,01_Village.Visual.DynamiteValley.Gates,,
Leon,0,,Biorand_GateShutter,44400,80.61,-5.57,212.5,0,116,0,,01_Village.Visual.DynamiteValley.Gates,,
Leon,0,,Biorand_GateShutter,44101,-14.17,8.38,108.33,0,143,0,,01_Village.Visual.DynamiteValley.Gates,,
Leon,0,,Biorand_GateShutter,40200,11.07,4.08,15.31,90,1,0,,01_Village.Visual.VillageSquare.Roof.Platform,,
Leon,0,,Biorand_GateShutter,40200,11.13,0.96,18.45,0,-178.61,0,,01_Village.Visual.VillageSquare.Roof.Platform,,
Leon,0,,Biorand_GateShutter,40200,27.56,-3.29,2.56,0,-57,90,,01_Village.Visual.VillageSquare.Underground.Gates,,
Leon,0,,Biorand_GateShutter,40200,10.89,-4.05,17.96,0,102,0,,01_Village.Visual.VillageSquare.Underground.Gates,,
Leon,0,,Biorand_GateShutter,45100,77.18,2.79,43.5,0,43,0,,01_Village.Visual.GraveyardChurch.Gates,,
Leon,-1,,,40502,-176.67,9.72,63.1,0,3.6,0,,--Use for Later Ladder to First House--,,
Leon,-1,,Biorand_LargeRocks,40501,-251.92,5.70,41.45,0.00,129.00,0.00,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.0,chapteronly,
Leon,-1,,Biorand_ExplosionOilBarrel,40501,-252.35,6.33,39.69,0,20,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.0,chapteronly,
Leon,-1,,Biorand_WoodenBox,40510,-191.95,10.03,66.87,0,-4,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.0,chapteronly,
Leon,-1,,Biorand_BearTrap,40502,-202.55,8.91,85.56,0,180,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.0,chapteronly,
Leon,-1,,Biorand_LargeRocks,40501,-249.78,6,55.81,0,159,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.1,chapteronly,
Leon,-1,,Biorand_ExplosionOilBarrel,40501,-251.89,6.67,54.92,0,139,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.1,chapteronly,
Leon,-1,,Biorand_WoodenBox,40510,-178.29,10.03,77.29,0,98,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.1,chapteronly,
Leon,-1,,Biorand_LargeRocks,40501,-237.06,5.91,62.56,0,-161,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.2,chapteronly,
Leon,-1,,Biorand_ExplosionOilBarrel,40501,-239.41,6.53,61.82,0,-159,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.2,chapteronly,
Leon,-1,,Biorand_WoodenBox,40510,-174.21,10.03,74.92,0,4,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.2,chapteronly,
Leon,-1,,Biorand_LargeRocks,40510,-199.94,8.7,85.44,0,175,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.3,chapteronly,
Leon,-1,,Biorand_ExplosionOilBarrel,40510,-200.77,9.07,87.05,0,178,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.3,chapteronly,
Leon,-1,,Biorand_MiniAutoTurretGun,40510,-196.94,12.70,83.90,0.00,-86.50,0.00,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.3,chapteronly,
Leon,-1,,Biorand_WoodenBox,40510,-183.39,13.47,67.36,0,-89,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.3,chapteronly,
Leon,-1,,Biorand_LargeRocks,40501,-214.90,8.10,77.70,0.00,0.00,0.00,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.4,chapteronly,
Leon,-1,,Biorand_ExplosionOilBarrel,40501,-217.10,8.40,77.50,0.00,0.00,0.00,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.4,chapteronly,
Leon,-1,,Biorand_BearTrap,40502,-202.55,8.91,85.56,0.00,180.00,0.00,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.4,chapteronly,
Leon,-1,,Biorand_WoodenBox,40510,-183.27,13.47,67.61,0,91,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.4,chapteronly,
Leon,-1,,Biorand_MiniAutoTurretGun,40510,-196.94,12.70,86.68,0.00,-86.50,0.00,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.5,chapteronly,
Leon,-1,,Biorand_SmallWoodenBox,40501,-260.09,6.16,51.27,0,59,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.5,chapteronly,
Leon,-1,,Biorand_SmallWoodenBox,40501,-259.48,6.12,51.54,0,178,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.5,chapteronly,
Leon,-1,,Biorand_SmallWoodenBox,40501,-259.55,6.14,51.1,0,178,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.5,chapteronly,
Leon,-1,,Biorand_LargeRocks,40501,-259.68,5.63,51.37,0,178,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.5,chapteronly,
Leon,-1,,Biorand_WoodenBox,40502,-198.44,9.67,75.58,0,-44,0,,01_Village.CP1.StartVanilla.CP101_PathHuntingCabin.Gimmicks.6,chapteronly,
